               ,ESCUELA PREPARATORIA NUM. 3\\ TURNO MATUTINO                                     ,24,SAN LUIS POTOSI,aaa,,
01ETH0033S     ,TELEBACHILLERATO CERESO AGUASCALIENTES                                          ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,ESTATAL
01ETH0035Q     ,TELEBACHILLERATO LOS CUERVOS                                                    ,1,AGUASCALIENTES,CUERVOS\\ LOS (LOS OJOS DE AGUA),BACHILLERATO GENERAL DE 3 AÑOS,ESTATAL
01ETH0036P     ,TELEBACHILLERATO SALTO DE LOS SALADO                                            ,1,AGUASCALIENTES,SALTO DE LOS SALADO\\ EL,BACHILLERATO GENERAL DE 3 AÑOS,ESTATAL
01PBH0003O     ,COLEGIO DE CIENCIAS Y HUMANIDADES                                               ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0005M     ,COLEGIO PORTUGAL                                                                ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0009I     ,CENTRO DE ESTUDIOS DE EDUCACION MEDIA Y SUPERIOR EMILIANO ZAPATA                ,1,JESUS MARIA,JESUS MARIA,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0013V     ,COLEGIO DE EDUCACION\\ DESARROLLO Y ASESORAMIENTO\\ SOCIEDAD CIVIL (CEDEA\\ S.C.)  ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL SEMIESCOLARIZADO,PARTICULAR
01PBH0014U     ,INSTITUTO RENACIMIENTO DE AGUASCALIENTES\\ A.C.                                  ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0015T     ,COLEGIO DE EDUCACION\\ DESARROLLO Y ASESORAMIENTO\\ SOCIEDAD CIVIL (CEDEA\\ S.C.)  ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0016S     ,CENTRO UNIVERSITARIO GALILEA                                                    ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0017R     ,INSTITUTO MENDEL\\ A. C.                                                         ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0018Q     ,INSTITUTO AGUASCALIENTES\\ A. C.                                                 ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0019P     ,INSTITUTO MARGIL                                                                ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0020E     ,INSTITUTO MEXICO INTERNACIONAL\\ A.C.                                            ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0021D     ,CENTRO DE ENSEÑANZA FRANCISCO I. MADERO\\ A.C.                                   ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0022C     ,COLEGIO DE CIENCIAS Y HUMANIDADES (SEMIESCOLARIZADO)                            ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL SEMIESCOLARIZADO,PARTICULAR
01PBH0024A     ,PREPARATORIA JOSE MA. MORELOS Y PAVON                                           ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0025Z     ,COLEGIO INDEPENDENCIA DE AGUASCALIENTES\\ A.C.                                   ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0027Y     ,INSTITUTO LATINOAMERICANO MIGUEL DE CERVANTES\\ A.C.                             ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0034H     ,ESCUELA DE LA CIUDAD DE AGUASCALIENTES                                          ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0036F     ,CENTRO ESCOLAR EL ENCINO                                                        ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0037E     ,PREPARATORIA BACHILLERES DE AGUASCALIENTES                                      ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL SEMIESCOLARIZADO,PARTICULAR
01PBH0038D     ,ESCUELA PREPARATORIA II CENTENARIO                                              ,1,CALVILLO,CALVILLO,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0039C     ,INSTITUTO GUADALUPE VICTORIA\\ A.C.                                              ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0041R     ,BACHILLERATO AMADO NERVO                                                        ,1,TEPEZALA,CHAYOTE\\ EL,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0042Q     ,INSTITUTO VICTOR MANUEL CASTELAZO MURIEL                                        ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0046M     ,COLEGIO MARIA VILLALOBOS REVILLA                                                ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0047L     ,COLEGIO HELEN KELLER\\ A.C.                                                      ,1,JESUS MARIA,JESUS MARIA,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0048K     ,ESCUELA DE BACHILLERES MATIAS MARIN VARGAS                                      ,1,RINCON DE ROMOS,RINCON DE ROMOS,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
